id,headline,acquirer,target,deal_value_usd_bn,deal_type,category,announced_date,status,geography,source,source_credibility,relevance_score,credibility_score,composite_score,include_in_newsletter
live_0_1782278317.428642,"Sensex today | Stock Market Highlights: Sensex gains 736 points, Nifty closes above 23,850 as US-Iran deal drives crude prices lower",,,,M&A Activity,FMCG,,Reported,,BusinessLine,,5,4,4.6,False
live_1_1782278317.428642,Record profits delivered and reorganisation to deliver next stage of growth,,,,M&A Activity,FMCG,,Reported,,GlobeNewswire,,5,4,4.6,False
live_2_1782278317.428642,Unilever SEC Filing: Form 425 (Filing Date: 2026-06-02),,,,M&A Activity,FMCG,,Reported,,SEC EDGAR,,5,4,4.6,False
live_10_1782278317.436839,Big-ticket consumer deals over past few decades - Reuters,,,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_11_1782278317.44597,Unilever-McCormick: Is the $65bn megamerger worth its salt? - Ingredients Network,,,,Merger,Ingredients,,Reported,,Google News,,5,4,4.6,False
live_12_1782278317.452527,Unilever eyes more health deals after food exit - The Times,,,,M&A Activity,Health,,Reported,,Google News,,5,4,4.6,False
live_13_1782278317.463905,"Commission backs Premier-RFG merger, protects jobs, boosts suppliers - Business Day",,,,Merger,FMCG,,Reported,,Google News,,5,4,4.6,False
live_14_1782278317.47652,Mars-Kellanova merger clears final hurdle - Inside FMCG,,,,Merger,FMCG,,Reported,,Google News,,5,4,4.6,False
live_15_1782278317.47807,Consumer goods: A changing landscape for successful M&A - McKinsey & Company,,,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_16_1782278317.493538,M&A in Consumer Products: Searching for the Parenting Advantage - Bain & Company,,,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_17_1782278317.497526,"M&As, PE bets and big exits: How India's corporate story unfolded in 2025 - Business Standard",,,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_18_1782278317.55985,"Mitra to merge with Tierra Agrotech in Rs 787-crore deal, eyes IPO by 2026 - The Economic Times",Mitra To,Tierra Agrotech,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_19_1782278317.55985,ANTARES VISION GROUP: AGREEMENT WITH A US FMCG MULTINATIONAL FOR GLOBAL SERIALIZATION AND TRACEABILITY PLATFORM - Food Industry Executive,,,,M&A Activity,Food,,Reported,,Google News,,5,4,4.6,False
live_20_1782278317.577202,Mars-Kellanova mega deal could create $60bn powerhouse - Global Food Industry News,,,,M&A Activity,Food,,Reported,,Google News,,5,4,4.6,False
live_21_1782278317.577202,"How Have M&A Deals, Partnerships, and Innovations Revolutionized the Consumer Goods Sector in Q1 2025? - Allied Market Research",,,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_22_1782278317.60763,Mitra merges with Tierra Agrotech in ₹787 cr deal ahead of IPO - BusinessLine,Mitra,Tierra Agrotech,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_23_1782278317.609359,Six food and drink acquisitions shaping the industry in 2025 - Grocery Gazette,,,,Acquisition,Food,,Reported,,Google News,,5,4,4.6,False
live_24_1782278317.618853,Biggest M&A deals in Brazil 2024 - Statista,,,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_25_1782278317.62579,How Do Retail Stores Compete in an FMCG Market? - FTI Consulting,,,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
live_26_1782278317.627785,Kimberly-Clark’s Kenvue acquisition probed by NZ authority - Inside FMCG,,,,Acquisition,FMCG,,Reported,,Google News,,5,4,4.6,False
live_27_1782278317.6378,Modi Naturals plans up to ₹100 crore FMCG acquisitions after NSE listing - Business Standard,,,,Acquisition,FMCG,,Reported,,Google News,,5,4,4.6,False
live_28_1782278317.659315,2021 – The year in food industry M&A - Global Food Industry News,,,,M&A Activity,Food,,Reported,,Google News,,5,4,4.6,False
live_29_1782278317.659315,Repeatable M&A in Consumer Goods - Bain & Company,,,,M&A Activity,FMCG,,Reported,,Google News,,5,4,4.6,False
